"title","vote_average","vote_count","budget","movie_id","genres_type","genres_id","original_language","popularity","release_date","revenue","runtime.mins.","ROI"
"Underworld: Rise of the Lycans",62,1428,35000000,12437,"Fantasy",14,"en",51927471,"2009-01-22",91353501,92,161.010002857143
"Premium Rush",62,832,35000000,49526,"Crime",80,"en",17709888,"2012-08-24",31083599,91,-11.1897171428571
"Femme Fatale",62,142,35000000,9280,"Thriller",53,"en",907278,"2002-11-06",16838910,114,-51.8888285714286
"Phenomenon",62,323,32000000,9294,"Drama",18,"en",15039407,"1996-07-05",152036382,123,375.11369375
"Transporter 2",62,1061,32000000,9335,"Action",28,"en",475612,"2005-08-02",85167639,87,166.148871875
"Repo Men",62,620,32000000,31867,"Action",28,"en",25799697,"2010-03-18",18409891,111,-42.469090625
"Arachnophobia",62,433,31000000,6488,"Comedy",35,"en",15895661,"1990-08-09",53208180,103,71.6392903225806
"Vacation",62,1195,31000000,296099,"Comedy",35,"en",47753598,"2015-07-28",104384188,99,236.723187096774
"DodgeBall: A True Underdog Story",62,981,20000000,9472,"Comedy",35,"en",41156217,"2004-06-18",167722310,92,738.61155
"Black Rain",62,243,30000000,4105,"Action",28,"en",1119602,"1989-09-22",45892212,125,52.97404
"Drag Me to Hell",62,966,30000000,16871,"Horror",27,"en",45083509,"2009-03-15",90810892,99,202.702973333333
"30 Days of Night",62,767,30000000,4513,"Horror",27,"en",33394082,"2007-10-17",75505973,113,151.686576666667
"Once Upon a Time in Mexico",62,594,29000000,1428,"Action",28,"en",27555646,"2003-09-11",98185582,102,238.570972413793
"How to Lose Friends & Alienate People",62,244,27000000,13092,"Comedy",35,"en",16785866,"2008-10-02",17286299,110,-35.9766703703704
"Octopussy",62,527,27500000,700,"Adventure",12,"en",25633663,"1983-06-05",187500000,131,581.818181818182
"Knocked Up",62,1214,30000000,4964,"Comedy",35,"en",22527211,"2007-06-01",219076518,129,630.25506
"Rendition",62,205,27500000,5125,"Drama",18,"en",12741073,"2007-09-07",24748670,120,-10.0048363636364
"Kiss the Girls",62,345,27000000,9437,"Drama",18,"en",18913,"1997-10-03",60527873,115,124.177307407407
"The 40 Year Old Virgin",62,1983,26000000,6957,"Comedy",35,"en",38473732,"2005-08-11",109449237,116,320.958603846154
"A Walk Among the Tombstones",62,1131,28000000,169917,"Crime",80,"en",61309619,"2014-09-18",53181600,113,89.9342857142857
"Red Eye",62,455,26000000,11460,"Horror",27,"en",8802626,"2005-08-04",57891803,85,122.660780769231
"Don Juan DeMarco",62,183,25000000,1909,"Romance",10749,"en",8870614,"1994-10-01",22200000,97,-11.2
"The Losers",62,515,25000000,34813,"Action",28,"en",24903418,"2010-04-23",23580000,97,-5.68
"The Conspirator",62,137,25000000,60309,"Crime",80,"en",9169271,"2010-09-10",15478800,122,-38.0848
"Brokedown Palace",62,111,25000000,17707,"Drama",18,"en",7296459,"1999-08-13",1.3e+07,100,-48
"Without Limits",62,19,25000000,22256,"Drama",18,"en",3849873,"1998-09-11",777423,117,-96.890308
"The Whole Nine Yards",62,531,41300000,2069,"Comedy",35,"en",23441135,"2000-02-18",106371651,98,157.558476997579
"Delivery Man",62,551,26000000,146239,"Comedy",35,"en",30114383,"2013-10-10",51164106,105,96.7850230769231
"Before I Go to Sleep",62,659,22000000,204922,"Mystery",9648,"en",48784734,"2014-09-03",15447154,92,-29.7856636363636
"Drumline",62,116,20000000,13497,"Drama",18,"en",4748929,"2002-12-13",57588485,118,187.942425
"Paint Your Wagon",62,63,20000000,20391,"Drama",18,"en",7902536,"1969-10-15",31678778,158,58.39389
"Secret in Their Eyes",62,336,19500000,290751,"Crime",80,"en",15012237,"2015-10-14",34854990,111,78.7435384615385
"What's Your Number?",62,671,20000000,63492,"Comedy",35,"en",19220789,"2011-09-30",30426096,106,52.13048
"A Dangerous Method",62,571,15000000,48231,"Drama",18,"en",27133277,"2011-09-30",27462041,99,83.0802733333333
"Rapa Nui",62,33,20000000,10448,"Adventure",12,"en",3581906,"1994-09-09",305070,107,-98.47465
"The Crazies",62,633,20000000,29427,"Mystery",9648,"en",28867568,"2010-02-26",54956140,101,174.7807
"Take Me Home Tonight",62,208,19000000,50725,"Comedy",35,"en",11766564,"2011-03-04",6928068,97,-63.5364842105263
"Neighbors",62,2713,18000000,195589,"Comedy",35,"en",36471231,"2014-05-08",268157400,96,1389.76333333333
